COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
ALB,,ALL,2003,528
ALB,,ALL,2004,572
ALB,,ALL,2005,0
ALB,,ALL,2010,70
ALB,,ALL,2012,258
AND,,ALL,1999,0
AND,,ALL,2000,2
AND,,ALL,2001,0
AND,,ALL,2002,0
AND,,ALL,2003,0
AND,,ALL,2004,0
AND,,ALL,2005,0
AND,,ALL,2006,0
AND,,ALL,2007,0
AND,,ALL,2008,0
AND,,ALL,2010,0
AND,,ALL,2011,1
AND,,ALL,2012,0
AND,,ALL,2013,0
ARM,,ALL,1990,793
ARM,,ALL,1991,602
ARM,,ALL,1992,501
ARM,,ALL,1993,484
ARM,,ALL,1994,473
ARM,,ALL,1995,360
ARM,,ALL,1996,333
ARM,,ALL,1997,253
ARM,,ALL,1998,263
ARM,,ALL,1999,229
ARM,,ALL,2000,122
ARM,,ALL,2001,122
ARM,,ALL,2003,103
ARM,,ALL,2004,106
ARM,,ALL,2005,86
ARM,,ALL,2006,91
ARM,,ALL,2007,85
ARM,,ALL,2008,111
ARM,,ALL,2010,17
ARM,,ALL,2011,73
ARM,,ALL,2012,63
ARM,,ALL,2013,58
AUT,,ALL,1990,274
AUT,,ALL,1991,257
AUT,,ALL,1992,269
AUT,,ALL,1993,275
AUT,,ALL,1994,241
AUT,,ALL,1995,209
AUT,,ALL,1996,222
AUT,,ALL,1997,210
AUT,,ALL,1998,251
AUT,,ALL,1999,322
AUT,,ALL,2000,264
AUT,,ALL,2001,210
AUT,,ALL,2003,519
AUT,,ALL,2004,576
AUT,,ALL,2005,572
AUT,,ALL,2010,290
AUT,,ALL,2011,175
AUT,,ALL,2012,91
AZE,,ALL,1990,1844
AZE,,ALL,1991,1850
AZE,,ALL,1992,2090
AZE,,ALL,1993,1169
AZE,,ALL,1994,665
AZE,,ALL,1995,448
AZE,,ALL,1996,347
AZE,,ALL,1997,352
AZE,,ALL,1998,309
AZE,,ALL,1999,198
AZE,,ALL,2000,198
AZE,,ALL,2001,172
AZE,,ALL,2003,147
AZE,,ALL,2004,179
AZE,,ALL,2005,281
AZE,,ALL,2007,360
AZE,,ALL,2008,409
AZE,,ALL,2010,370
AZE,,ALL,2011,258
AZE,,ALL,2012,242
AZE,,ALL,2013,194
BEL,,ALL,1990,74
BEL,,ALL,1991,121
BEL,,ALL,1992,80
BEL,,ALL,1993,48
BEL,,ALL,1994,52
BEL,,ALL,1995,68
BEL,,ALL,1996,324
BEL,,ALL,1997,308
BEL,,ALL,1998,134
BEL,,ALL,1999,126
BEL,,ALL,2000,258
BEL,,ALL,2001,532
BEL,,ALL,2002,709
